name;quantity;description;price
63289L;20;Ring Austras 925AG CZ RH White;66
63289XL;29;Ring Austras 925AG CZ RH White;66
63286S;29;Ring Aurora 925AG CZ RH White;52
63286M;34;Ring Aurora 925AG CZ RH White;52
63286L;34;Ring Aurora 925AG CZ RH White;52
63286XL;29;Ring Aurora 925AG CZ RH White;52
61279;10;Pendant Oasis 925AG RH CZ;54
61269;10;Necklace Finesse 925AG RH CZ;119
61276;10;Necklace Dahlia 925AG RH CZ;60
62251;10;Earrings Oasis 925AG RH CZ;38
62238;10;Earrings Finesse 925AG RH CZ;67
62248;10;Earrings Dahlia 925AG RH CZ;52
63545;10;Bracelet Maria 925AG RH CRY;81
63341S;10;Ring Oasis 925AG RH CZ;63
63341M;10;Ring Oasis 925AG RH CZ;63
63341L;10;Ring Oasis 925AG RH CZ;63
63341XL;10;Ring Oasis 925AG RH CZ;63
23165G;10;Earrings Queenly STE GP;38
23164G;10;Earrings Vibe STE GP CRY white;40
23163G WHI;10;Earrings Belief STE GP CRY white;38
23163G GRE;10;Earrings Belief STE GP CRY green;38
12427G GRE;10;Pendant Pik STE GP CRY green;40
23148G GRE;10;Earrings Pik STE GP CRY gre;40
23162G GRE;10;Earrings Finest STE GP CRY green;45
23162G WHI;10;Earrings Finest STE GP CRY white;45
32413G WHI;10;Bracelet Gracious STE GP CRY white;23
32413G GRE;10;Bracelet Gracious STE GP CRY green;23
41221G GRE;10;Ring Willow STE GP CRY green;37
23160G;10;Clip Joker GP;99
41221G WHI;10;Ring Willow STE GP CRY white;37
41219GS;10;Ring Joker STE GP;37
41219GM;10;Ring Joker STE GP;37
41219GL;10;Ring Joker STE GP;37
23161G;10;Clip Ace GP;7
41065GS;25;Ring Princess GP CRY S;58
41065GM;16;Ring Princess GP CRY M;58
41065GL;7;Ring Princess GP CRY L;58
41065GXL;22;Ring Princess GP CRY XL;58
12440;10;Necklace Destiny RH;125
22572R;370;Earrings Twice RH CRY;29
21020 621;118;Earrings Pearl Sissi creamrose;19
22628R;0;Post earring Pin RH CRY#;36
22813R;37;Earrings United RH CRY;38
31003 GOL;10;Bracelet white pearl GOL;0
31003 GRY;10;Bracelet white pearl GRY;0
12421;10;Pendant Embrace RH CRY;54
12420;10;Pendant Cupid RH CRY;69
12423;10;Pendant Flamme RH CRY;54
12422;10;Pendant Crush RH CRY;52
12424;10;Pendant Chance RH CRY;65
23145;10;Earrings Chance RH CRY;65
12439;10;Pendant Asterlove RH CRY;77
12439G;10;Pendant Asterlove GP CRY;91
23159;10;Earrings Asterlove RH CRY;44
23159G;10;Earrings Asterlove GP CRY;50
12419;10;Pendant Heartbeat RH CRY;52
12418;10;Pendant Affection RH CRY multi;66
23144;10;Earrings Heartbeat RH CRY;67
23143;10;Earrings Affection RH CRY multi;94
12432RG;10;Pendant Aura RG CRY rose;65
12431G;10;Pendant Sweets GP CRY multi;66
12431RG;10;Pendant Sweets RG CRY multi;66
23152RG;10;Earrings Aura RG CRY rose;50
23151G;10;Earrings Sweets GP CRY multi;40
23151RG;10;Earrings Sweets RG CRY multi;40
12429G;10;Pendant Twilight STE GP CRY;37
12428G;10;Pendant Unique GP CRY;66
12430G;10;Pendant Luminary GP CRY;74
32414G;10;Bracelet Eddy STE GP;40
23149G;10;Earrings Unique GP CRY;40
23150G;10;Earrings Luminary GP CRY;42
22968G;5;Earrings Sky STE GP CZ WHI;39
12435;10;Pendant Florescence RH CRY;54
23155;10;Earrings Florescence RH CRY;64
23155G;10;Earrings Florescence GP CRY;74
32417;10;Bracelet Florescence RH CRY;51
32417G;10;Bracelet Florescence GP CRY;68
12434;10;Pendant Prosper RH CRY;79
12434G;10;Pendant Prosper GP CRY;90
23154;10;Earrings Prosper RH CRY;81
23154G;10;Earrings Prosper GP CRY;92
32416;10;Bracelet Prosper RH CRY;76
32416G;10;Bracelet Prosper GP CRY;86
12433G;10;Necklace Meadow GP CRY;62
12433;10;Necklace Meadow RH CRY;54
23153;10;Earrings Meadow RH CRY;24
23153G;10;Earrings Meadow GP CRY;30
41179S;1;Ring Bhumi RH CZ S;49
41179M;-1;Ring Bhumi RH CZ M;49
41179L;-1;Ring Bhumi RH CZ L;49
41179XL;8;Ring Bhumi RH CZ XL;49
32415;10;Bracelet Meadow RH CRY;52
32415G;10;Bracelet Meadow GP CRY;59
12426;10;Pendant Symphony RH CRY;159
12425;10;Pendant Freeze RH CRY multi;60
23146;10;Earrings Freeze RH CRY multi;79
23147;10;Clip Symphony RH CRY;235
31003 LTUR;10;Bracelet white pearl LTUR;0
31003 TUR;10;Bracelet white pearl TUR;0
12438;10;Pendant Nobly RH CRY;179
12438G;10;Pendant Nobly GP CRY;179
23158;10;Clip Nobly RH CRY;131
23158G;10;Clip Nobly GP CRY;131
58050;10;Brosche Nobly RH CRY;112
58050G;10;Brosche Nobly GP CRY;112
12436;10;Pendant Edelbloom RH CRY;50
12436G;10;Pendant Edelbloom GP CRY;64
12437;10;Pendant Edellove RH CRY red;62
12437G;10;Pendant Edellove GP CRY red;75
23156;10;Earrings Edelbloom RH CRY;42
23156G;10;Earrings Edelbloom GP CRY;46
23157;10;Earrings Edellove RH CRY red;41
23157G;10;Earrings Edellove GP CRY red;44
41191RGS;20;Ring Agni RG CZ S;48
41191RGM;43;Ring Agni RG CZ M;48
41191RGL;22;Ring Agni RG CZ L;48
41191RGXL;23;Ring Agni RG CZ XL;48
12375;38;Necklace Libertá STE;59
32391G;37;Bracelet Libertá STE GP;39
32391RG;14;Bracelet Libertá STE RG;39
32391;29;Bracelet Libertá STE;36
12375G;30;Necklace Libertá STE GP;59
23100RG;18;Ohrringe Libertá STE RG;39
23100G;40;Ohrringe Libertá STE GP;39
23100;41;Ohrringe Libertá STE;39
12376;48;Necklace Candor STE CZ;96
12376G;51;Necklace Candor STE GP CZ;96
32392;43;Bracelet Candor STE CZ;32
32392G;47;Bracelet Candor STE GP CZ;32
23101;47;Ohrringe Candor STE CZ;46
23101RG;12;Ohrringe Candor STE RG CZ;46
23101G;49;Ohrringe Candor STE GP CZ;46
12377;47;Necklace Delight STE CZ;99
23102G;44;Ohrringe Delight STE GP CZ;41
32393;39;Bracelet Delight STE CZ;46
23102;38;Ohrringe Delight STE CZ;41
32393G;42;Bracelet Delight STE GP CZ;49
23102RG;16;Ohrringe Delight STE RG CZ;41
